Sigla OACI,Nome Empresas,Nacional ou Estrangeira
LAN,LAN CHILE,ESTRANGEIRA
LAP,TAM TRANSP.AR.DEL.MERCOS.,ESTRANGEIRA
LCO,LAN CARGO S.A,ESTRANGEIRA
LDI,LAUDA AIR SPA,ESTRANGEIRA
LLB,LLOYD AEREO BOLIVIANO,ESTRANGEIRA
LPE,LAN PERU S/A,ESTRANGEIRA
LPR,NÃO INFORMADO,ESTRANGEIRA
LRC,LINEAS AE.COSTARRICENCES S/A,ESTRANGEIRA
LTG,ABSA,ESTRANGEIRA
LVG,LIVINGSTON S.P.A.,NÃO INFORMADO
LXP,TRANSPORTES AREOS(LANEXPRESS),NÃO INFORMADO
MAA,AEROTRANSPORTES MAS DE CARGA S.A. DE C.V.,NÃO INFORMADO
MEA,MIDDLE EAST A.AIRLIBAN,NÃO INFORMADO
MEK,NÃO INFORMADO,NÃO INFORMADO
MEL,MEGA,NÃO INFORMADO
MKA,MK AIRLINE,NÃO INFORMADO
MPH,MARTINAIR HOLLAND N.V.,NÃO INFORMADO
MPX,AEROMEXPRESS,NÃO INFORMADO
msq,NÃO INFORMADO,NÃO INFORMADO
MSQ,META,NÃO INFORMADO
MST,MASTER TOP,NÃO INFORMADO
MWM,MODERN TRANSPOR,NÃO INFORMADO
MXA,COMPANHIA MEXICANA DE AVIACION S.A. DE C.V.,ESTRANGEIRA
NCT,NÃO INFORMADO,NÃO INFORMADO
NES,NORDESTE,BRASILEIRA
NHG,NHT,BRASILEIRA
NHT,NÃO INFORMADO,NÃO INFORMADO
NLU,INSEL AIR ARUBA N.V,ARUBA
NRA,NO AR,BRASILEIRA
OCA,NÃO INFORMADO,NÃO INFORMADO
ONE,AVIANCA BRASIL,BRASILEIRA
PAC,POLAR AIR CARGO INC.,ESTRANGEIRA
PAM,MAP LINHAS AEREAS,BRASILEIRA
PEP,PENTA,BRASILEIRA
PLI,AEROPERU EMP.T.A.DEL PERU,ESTRANGEIRA
PLY,PUMA AIR,BRASILEIRA
PTB,PASSAREDO,BRASILEIRA
PTN,PANTANAL,BRASILEIRA
PUA,PLUNA,ESTRANGEIRA
